18.85.22.afh,2017-06-30 00:00:00,2017-06-30 00:00:00,1,1
50.87.249.ede,2017-06-30 00:00:00,2017-06-30 00:00:01,2,2
106.38.241.eef,2017-06-30 00:00:01,2017-06-30 00:00:01,1,1
64.209.89.cej,2017-06-30 00:00:01,2017-06-30 00:00:01,1,1
99.129.194.jbj,2017-06-30 00:00:01,2017-06-30 00:00:01,1,1
146.88.97.jag,2017-06-30 00:00:00,2017-06-30 00:00:02,3,8
137.116.199.fjb,2017-06-30 00:00:02,2017-06-30 00:00:02,1,24
65.92.86.ccg,2017-06-30 00:00:02,2017-06-30 00:00:02,1,3
65.52.133.bij,2017-06-30 00:00:02,2017-06-30 00:00:03,2,51
109.68.190.dff,2017-06-30 00:00:03,2017-06-30 00:00:03,1,2
218.30.103.ech,2017-06-30 00:00:03,2017-06-30 00:00:03,1,1
63.175.79.eja,2017-06-30 00:00:03,2017-06-30 00:00:03,1,1
5.9.94.eaj,2017-06-30 00:00:00,2017-06-30 00:00:04,5,2
108.51.115.hji,2017-06-30 00:00:04,2017-06-30 00:00:04,1,1
85.10.208.iji,2017-06-30 00:00:04,2017-06-30 00:00:04,1,8
180.76.15.eef,2017-06-30 00:00:03,2017-06-30 00:00:05,3,2
198.52.97.edc,2017-06-30 00:00:05,2017-06-30 00:00:05,1,2
5.9.17.hfe,2017-06-30 00:00:05,2017-06-30 00:00:05,1,2
158.69.116.fca,2017-06-30 00:00:02,2017-06-30 00:00:06,5,16
207.58.180.baj,2017-06-30 00:00:03,2017-06-30 00:00:06,4,20
198.45.18.idh,2017-06-30 00:00:05,2017-06-30 00:00:06,2,2
192.241.238.hhg,2017-06-30 00:00:04,2017-06-30 00:00:07,4,98
180.76.15.bff,2017-06-30 00:00:07,2017-06-30 00:00:07,1,1
34.200.219.dci,2017-06-30 00:00:07,2017-06-30 00:00:07,1,1
5.9.145.ejd,2017-06-30 00:00:07,2017-06-30 00:00:07,1,1
73.255.119.eca,2017-06-30 00:00:00,2017-06-30 00:00:08,9,3
199.190.211.ggf,2017-06-30 00:00:05,2017-06-30 00:00:08,4,2
188.165.200.jag,2017-06-30 00:00:08,2017-06-30 00:00:08,1,1
69.196.253.bch,2017-06-30 00:00:08,2017-06-30 00:00:08,1,1
72.47.244.edd,2017-06-30 00:00:08,2017-06-30 00:00:08,1,2
104.155.175.fbb,2017-06-30 00:00:09,2017-06-30 00:00:09,1,1
73.95.221.cib,2017-06-30 00:00:09,2017-06-30 00:00:09,1,1
13.94.212.jdf,2017-06-30 00:00:02,2017-06-30 00:00:10,9,372
173.226.98.ccg,2017-06-30 00:00:04,2017-06-30 00:00:10,7,2
70.183.20.iei,2017-06-30 00:00:08,2017-06-30 00:00:10,3,2
163.172.68.jgj,2017-06-30 00:00:10,2017-06-30 00:00:10,1,3
34.212.198.aab,2017-06-30 00:00:10,2017-06-30 00:00:10,1,4
121.116.12.igj,2017-06-30 00:00:11,2017-06-30 00:00:11,1,1
198.71.58.geh,2017-06-30 00:00:11,2017-06-30 00:00:11,1,1
209.234.229.jcf,2017-06-30 00:00:11,2017-06-30 00:00:11,1,2
42.61.184.gfj,2017-06-30 00:00:11,2017-06-30 00:00:11,1,1
111.93.214.fdh,2017-06-30 00:00:08,2017-06-30 00:00:12,5,3
4.30.121.fab,2017-06-30 00:00:10,2017-06-30 00:00:12,3,2
106.38.241.egd,2017-06-30 00:00:12,2017-06-30 00:00:12,1,1
128.199.163.fgg,2017-06-30 00:00:12,2017-06-30 00:00:12,1,2
37.220.8.bbi,2017-06-30 00:00:12,2017-06-30 00:00:12,1,1
72.67.52.ceb,2017-06-30 00:00:12,2017-06-30 00:00:12,1,1
74.201.83.ech,2017-06-30 00:00:12,2017-06-30 00:00:12,1,1
34.205.161.abh,2017-06-30 00:00:02,2017-06-30 00:00:13,12,91
144.230.191.dgd,2017-06-30 00:00:13,2017-06-30 00:00:13,1,1
